,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-06-07,46.45,44.5,46.58,44.1686,10441718.0,15176.5556
2022-06-08,44.6,45.42,46.3,44.5,8219338.0,14572.1072
2022-06-09,42.7,44.31,44.56,42.67,10364591.0,13951.3224
2022-06-10,41.16,41.68,43.32,40.77,16492150.0,13448.1599
2022-06-13,37.02,39.84,39.9,36.77,17493547.0,12095.5024
2022-06-14,36.99,37.48,37.76,36.05,12608777.0,12085.7006
2022-06-15,37.89,37.53,38.82,37.1,16355298.0,12379.7565
2022-06-16,34.78,36.43,36.59,34.355,15128015.0,11363.6298
2022-06-17,36.28,34.87,36.56,33.86,19451838.0,11853.7231
2022-06-21,36.5,37.35,37.45,35.78,10584233.0,11925.6034
2022-06-22,36.72,35.85,37.31,35.7,9037089.0,11997.4838
2022-06-23,35.81,36.5,36.7,34.77,11778662.0,11700.1605
2022-06-24,38.51,35.53,38.63,35.53,13245282.0,12582.3284
2022-06-27,37.2,38.815,38.815,37.12,9770053.0,12154.3136
2022-06-28,36.97,38.14,39.88,36.87,12433880.0,12079.166
2022-06-29,35.68,36.25,36.34,35.19,10245131.0,11657.6858
2022-06-30,35.42,34.46,35.64,33.73,12620387.0,11572.7363
2022-07-01,36.44,35.51,36.5,34.86,10923092.0,11905.9997
2022-07-05,36.97,35.15,37.14,34.44,15456973.0,12079.166
2022-07-06,36.66,36.56,37.175,35.88,9664637.0,11977.88
2022-07-07,36.69,36.6,37.1,35.89,11752061.0,11987.6819
2022-07-08,36.47,36.72,37.6,36.33,9955718.0,11915.8016
2022-07-11,35.37,36.21,36.49,35.1818,7570608.0,11556.3998
2022-07-12,38.23,35.53,38.65,35.53,14459252.0,12490.8444
2022-07-13,37.91,36.892,38.17,36.45,11847665.0,12386.2911
2022-07-14,37.85,37.33,39.02,37.04,9181813.0,12366.6874
2022-07-15,38.78,38.38,38.83,37.44,7702497.0,12670.5452
2022-07-18,39.34,39.79,40.56,39.16,11729810.0,12853.5134
2022-07-19,41.47,40.22,41.565,40.2,10518086.0,13549.4459
2022-07-20,41.68,41.5,41.97,40.8501,12822062.0,13618.0589
2022-07-21,37.44,38.82,38.97,37.235,29856054.0,12232.7286
2022-07-22,36.33,37.798,38.25,36.02,14579734.0,11870.0595
2022-07-25,36.34,36.03,36.41,35.19,10186923.0,11873.3268
2022-07-26,35.34,35.76,36.135,35.275,8151666.0,11546.5979
2022-07-27,36.42,36.18,36.735,35.29,10580651.0,11899.4651
2022-07-28,36.74,35.86,36.845,35.4,10248709.0,12004.0184
2022-07-29,36.75,36.49,37.115,36.24,7801508.0,12007.2856
2022-08-01,37.69,36.69,37.945,36.36,9471773.0,12314.4108
2022-08-02,37.23,37.22,38.115,36.76,8624860.0,12164.1155
2022-08-03,38.63,37.67,38.72,37.5001,10166164.0,12621.5359
2022-08-04,38.63,38.62,39.059,37.85,8985795.0,12621.5359
2022-08-05,37.82,38.01,38.79,37.76,6889271.0,12356.8855
2022-08-08,38.65,38.01,39.405,38.01,7359947.0,12628.0705
2022-08-09,37.8,38.21,38.35,37.245,7627185.0,12350.3509
2022-08-10,38.69,38.84,39.55,38.61,8655362.0,12641.1396
2022-08-11,38.67,39.46,39.86,38.49,8370967.0,12634.6051
2022-08-12,39.34,39.1,39.49,38.675,6796958.0,12853.5134
2022-08-15,39.86,39.42,40.315,39.4,7341027.0,13023.4124
2022-08-16,40.29,39.79,40.77,39.44,6924675.0,13163.9058
2022-08-17,38.96,39.56,39.69,38.4297,8557779.0,12729.3564
2022-08-18,39.06,38.96,39.15,38.38,6725427.0,12762.0293
2022-08-19,37.5,38.24,38.6,37.22,8142960.0,12252.3323
2022-08-22,36.36,36.5,36.53,35.63,8481887.0,11879.8614
2022-08-23,36.91,36.57,37.115,36.4,6774998.0,12059.5623
2022-08-24,37.39,36.95,37.695,36.61,5387622.0,12216.3921
2022-08-25,38.27,37.63,38.515,37.5159,6296579.0,12503.9135
2022-08-26,36.57,38.26,38.62,36.56,6130177.0,11948.4744
2022-08-29,36.02,36.01,36.59,35.85,6334467.0,11768.7736
2022-08-30,35.94,36.49,36.71,35.56,6660159.0,11742.6353
