,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2018-05-25,157.91,157.58,159.98,156.93,571389.0,18189.0153
2018-05-29,158.7,157.31,159.64,157.11,663385.0,18280.0122
2018-05-30,158.97,158.93,160.65,157.96,532504.0,18311.1124
2018-05-31,158.07,158.66,159.27,155.59,983056.0,18207.445
2018-06-01,158.48,158.51,159.44,157.25,425433.0,18254.6713
2018-06-04,159.9,158.92,160.6,158.41,434547.0,18418.2353
2018-06-05,159.67,160.0,160.44,158.12,795670.0,18391.7426
2018-06-06,157.84,159.65,159.65,156.142,762440.0,18180.9522
2018-06-07,157.56,158.16,159.93,156.75,945299.0,18148.7002
2018-06-08,157.32,157.48,158.594,155.823,680159.0,18121.0555
2018-06-11,158.09,157.71,159.73,156.92,459212.0,18209.7487
2018-06-12,160.75,157.87,160.87,157.24,821806.0,18516.1434
2018-06-13,156.37,160.5,160.5,155.88,744511.0,18011.6289
2018-06-14,157.0,157.0,158.715,156.685,904336.0,18084.196
2018-06-15,156.17,156.93,158.62,155.82,1081854.0,17988.5917
2018-06-18,157.85,156.18,158.16,155.61,680475.0,18182.1041
2018-06-19,158.45,157.21,159.54,157.02,1087404.0,18251.2157
2018-06-20,158.8,158.95,159.94,157.13,596421.0,18291.5308
2018-06-21,160.57,158.8,160.62,157.65,712201.0,18495.4099
2018-06-22,162.06,160.92,162.17,159.67,686742.0,18667.037
2018-06-25,162.52,161.83,162.86,161.115,819435.0,18720.0225
2018-06-26,164.19,163.25,164.3,161.84,1455010.0,18912.3831
2018-06-27,164.25,164.61,165.28,163.97,1228525.0,18919.2943
2018-06-28,164.93,164.6,165.08,163.36,735314.0,18997.6207
2018-06-29,165.12,164.43,166.18,163.06,836567.0,19019.506
2018-07-02,164.69,164.68,165.77,162.76,867134.0,18969.9761
2018-07-03,162.72,165.37,166.1,162.62,619202.0,18743.0597
2018-07-05,166.03,163.73,166.15,162.46,585367.0,19124.3253
2018-07-06,165.46,166.61,167.41,165.11,785530.0,19058.6693
2018-07-09,163.05,165.63,165.63,161.77,906917.0,18781.0711
2018-07-10,165.49,161.24,165.64,160.68,783354.0,19062.1249
2018-07-11,164.74,164.65,165.69,163.25,618942.0,18975.7354
2018-07-12,165.32,164.7,166.72,163.01,623602.0,19042.5432
2018-07-13,164.61,165.31,166.82,164.12,530483.0,18960.7612
2018-07-16,163.13,164.6,164.6,162.28,607438.0,18790.286
2018-07-17,163.69,163.39,163.82,162.4,925324.0,18854.7901
2018-07-18,162.44,163.94,163.94,161.88,755095.0,18710.8077
2018-07-19,162.63,162.67,163.74,161.24,484929.0,18732.693
2018-07-20,162.26,162.46,163.23,161.21,570019.0,18690.0742
2018-07-23,161.51,161.8,161.83,160.79,572309.0,18603.6847
2018-07-24,160.32,161.5,161.881,159.52,1676782.0,18466.6134
2018-07-25,160.68,160.56,161.94,159.76,1704634.0,18508.0804
2018-07-26,161.43,161.34,162.58,161.19,1521390.0,18594.4698
