,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-10-31,66.07,24024.5904,1994020.0
2019-11-01,67.76,24639.1138,1858107.0
2019-11-04,70.86,25766.346,2711023.0
2019-11-05,70.26,25548.172,2973323.0
2019-11-06,70.99,25813.617,2139344.0
2019-11-07,72.66,26420.8679,4382812.0
2019-11-08,73.1,26580.8621,2413093.0
2019-11-11,72.99,26540.8636,2177416.0
2019-11-12,73.41,26693.5854,4944758.0
2019-11-13,72.7,26435.4128,2947045.0
2019-11-14,72.25,26271.7823,1495450.0
2019-11-15,72.54,26377.2331,1888079.0
2019-11-18,73.4,26689.9491,2485520.0
2019-11-19,73.39,26686.3129,2902259.0
2019-11-20,73.01,26548.136,2159485.0
2019-11-21,73.01,26548.136,2804346.0
2019-11-22,73.92,26879.0332,2430949.0
2019-11-25,75.3,27380.8334,2367517.0
2019-11-26,74.29,27013.5738,2819401.0
2019-11-27,75.33,27391.7421,1668284.0
2019-11-29,75.1,27308.1087,1077244.0
2019-12-02,75.38,27409.9232,3241940.0
2019-12-03,73.61,26766.31,2968239.0
2019-12-04,74.57,27115.3884,2204220.0
2019-12-05,75.36,27402.6508,2785001.0
2019-12-06,77.02,28006.2654,2448187.0
2019-12-09,77.67,28242.6205,4205607.0
2019-12-10,77.83,28300.8003,3590412.0
2019-12-11,78.19,28431.7047,4340081.0
2019-12-12,80.42,29242.5846,4712607.0
2019-12-13,79.13,28773.5105,3025550.0
2019-12-16,79.62,28951.686,3782301.0
2019-12-17,80.33,29209.8585,2547267.0
2019-12-18,79.99,29086.2266,3376834.0
2019-12-19,79.64,28958.9584,2588525.0
2019-12-20,79.23,28809.8729,5851250.0
2019-12-23,79.45,28889.87,1669639.0
2019-12-24,79.64,28958.9584,567021.0
2019-12-26,79.85,29035.3193,1081061.0
2019-12-27,80.12,29133.4976,1252927.0
2019-12-30,79.88,29046.228,1434855.0
2019-12-31,79.1,28762.6018,1368635.0
2020-01-02,80.76,29366.2165,1942041.0
2020-01-03,79.57,28933.5048,1511085.0
2020-01-06,80.79,29377.1252,2214769.0
2020-01-07,81.91,29784.3833,3139307.0
2020-01-08,81.49,29631.6615,1941178.0
2020-01-09,82.92,30151.6428,1959664.0
2020-01-10,81.69,29704.3862,3093195.0
2020-01-13,82.08,29846.1992,2213066.0
2020-01-14,81.53,29646.2064,1825317.0
2020-01-15,81.21,29529.847,2645918.0
2020-01-16,81.14,29504.3933,5116055.0
2020-01-17,82.56,30020.7384,7394033.0
2020-01-21,81.31,29566.2093,3117683.0
2020-01-22,80.54,29286.2194,2743974.0
2020-01-23,80.46,29257.1295,3242916.0
2020-01-24,78.34,28486.2481,2782707.0
2020-01-27,75.45,27435.3769,3330789.0
2020-01-28,76.5,27817.1813,2449090.0
2020-01-29,76.23,27719.003,1880064.0
2020-01-30,77.61,28220.8031,3378794.0
2020-01-31,75.63,27500.829,2389287.0
2020-02-03,76.09,27668.0958,1966735.0
2020-02-04,77.74,28268.0742,2222175.0
2020-02-05,80.04,29104.4077,2530739.0
2020-02-06,80.27,29188.0411,2476110.0
2020-02-07,79.14,28777.1468,1599521.0
2020-02-10,79.13,28773.5105,1725489.0
2020-02-11,79.78,29009.8657,1845236.0
2020-02-12,80.43,29246.2208,1381551.0
2020-02-13,78.85,28671.696,1908701.0
2020-02-14,77.85,28308.0727,1855610.0
2020-02-18,76.88,27955.3582,1809796.0
2020-02-19,78.76,28638.9699,1948176.0
2020-02-20,77.89,28322.6177,1586455.0
2020-02-21,77.13,27330.4299,3684513.0
2020-02-24,74.01,26224.8816,4078476.0
2020-02-25,70.85,25105.1596,4729302.0
2020-02-26,70.14,24853.5765,5197153.0
2020-02-27,69.38,24584.2763,5523012.0
2020-02-28,68.11,24134.2614,5657281.0
2020-03-02,68.69,24339.78,4156943.0
2020-03-03,65.85,23333.4476,5678825.0
2020-03-04,67.0,23740.9413,3730803.0
2020-03-05,62.4,22110.9663,4049823.0
2020-03-06,60.13,21306.609,3975209.0
2020-03-09,52.66,18659.6712,4425782.0
2020-03-10,56.73,20101.8448,4454342.0
2020-03-11,54.19,19201.8151,6053160.0
2020-03-12,48.12,17050.9567,5615235.0
2020-03-13,58.86,20856.5941,5751710.0
2020-03-16,47.72,16909.2197,5668082.0
2020-03-17,49.93,17692.3164,4963337.0
2020-03-18,45.22,16023.3637,5538764.0
2020-03-19,46.63,16522.9865,3758800.0
2020-03-20,46.67,16537.1602,4495298.0
2020-03-23,43.21,15311.1354,3925472.0
2020-03-24,48.57,17210.4108,3145790.0
2020-03-25,49.38,17497.4281,4284777.0
2020-03-26,49.42,17511.6018,5342737.0
2020-03-27,48.66,17242.3016,3734783.0
2020-03-30,51.77,18344.3065,2922349.0
2020-03-31,53.27,18875.8201,6703119.0
2020-04-01,50.4,17858.8574,6001995.0
2020-04-02,52.42,18574.629,2855995.0
2020-04-03,52.16,18482.5,2013837.0
2020-04-06,55.55,19683.7208,2900566.0
2020-04-07,56.13,19889.2394,2551682.0
2020-04-08,58.56,20624.8676,2520018.0
2020-04-09,60.95,21466.6271,2773366.0
2020-04-13,59.44,20934.8041,2259672.0
2020-04-14,60.61,21346.8789,1893458.0
2020-04-15,57.07,20100.0887,2355729.0
2020-04-16,58.5,20603.7356,2459665.0
2020-04-17,58.49,20585.1963,4420905.0
2020-04-20,58.18,20476.0937,2314211.0
2020-04-21,55.99,19705.3366,3103005.0
2020-04-22,57.47,20226.2135,2000929.0
2020-04-23,57.05,20078.3971,1795348.0
2020-04-24,57.41,20205.0969,1612130.0
2020-04-27,61.29,21570.6391,2243612.0
2020-04-28,62.75,22085.2635,3102972.0
2020-04-29,64.46,22687.1089,2346481.0
2020-04-30,63.04,22187.3308,3657722.0
2020-05-01,59.08,20793.5835,1773330.0
2020-05-04,58.4,20554.2532,2613448.0
2020-05-05,58.08,20441.6271,1954266.0
2020-05-06,56.33,19825.7034,2337942.0
2020-05-07,58.24,20497.9402,1573322.0
2020-05-08,60.22,21194.8138,1521281.0
2020-05-11,58.76,20680.9575,2030947.0
2020-05-12,56.33,19825.7034,2417233.0
