,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-07-07,27.53,1429.458,445364.0
2020-07-08,28.21,1464.7661,438022.0
2020-07-09,27.66,1436.208,462617.0
2020-07-10,27.64,1435.1696,303888.0
2020-07-13,27.13,1408.6885,319419.0
2020-07-14,27.7,1438.285,541725.0
2020-07-15,27.86,1446.5928,237709.0
2020-07-16,28.13,1460.6122,195679.0
2020-07-17,28.4,1474.6315,224588.0
2020-07-20,28.65,1487.6125,260632.0
2020-07-21,28.09,1458.5352,353275.0
2020-07-22,27.97,1452.3044,412917.0
2020-07-23,27.62,1434.1311,240478.0
2020-07-24,27.17,1410.7655,184210.0
2020-07-27,28.46,1477.747,196891.0
2020-07-28,28.14,1461.1314,344722.0
2020-07-29,29.58,1535.9014,273639.0
2020-07-30,29.73,1543.69,230185.0
2020-07-31,30.305,1573.5461,344993.0
2020-08-03,30.31,1573.8057,516526.0
2020-08-04,30.33,1574.8442,291514.0
2020-08-05,30.79,1598.7291,876282.0
2020-08-06,30.09,1562.3825,221817.0
2020-08-07,30.18,1567.0556,271634.0
2020-08-10,30.21,1568.6133,273620.0
2020-08-11,30.48,1582.6327,624409.0
2020-08-12,26.01,1350.534,2284914.0
2020-08-13,25.99,1349.4956,772775.0
2020-08-14,26.1,1355.2072,633108.0
2020-08-17,25.74,1336.5146,372124.0
2020-08-18,25.86,1342.7455,388240.0
2020-08-19,25.91,1345.3417,361760.0
2020-08-20,26.19,1359.8803,337289.0
2020-08-21,26.54,1378.0536,229990.0
2020-08-24,26.66,1384.2844,366356.0
2020-08-25,26.65,1383.7652,485734.0
2020-08-26,25.99,1349.4956,511619.0
2020-08-27,26.15,1357.8033,345081.0
2020-08-28,27.07,1405.5731,558482.0
2020-08-31,27.39,1436.237,498091.0
2020-09-01,27.07,1419.4574,363830.0
2020-09-02,27.315,1432.3043,459085.0
2020-09-03,25.84,1354.9604,428352.0
2020-09-04,25.54,1339.2294,258478.0
2020-09-08,25.31,1327.169,232957.0
2020-09-09,26.17,1372.2645,297175.0
2020-09-10,25.44,1333.9858,264382.0
2020-09-11,25.66,1345.5218,209840.0
2020-09-14,26.34,1381.1787,248017.0
2020-09-15,26.25,1376.4594,254983.0
2020-09-16,26.3,1379.0812,247011.0
2020-09-17,26.39,1383.8005,217499.0
2020-09-18,26.95,1413.165,539817.0
2020-09-21,25.905,1358.3688,344611.0
2020-09-22,26.04,1365.4477,358294.0
